"id","name","description"
"1","sweat a capuche N","<div>toto</div>"
"2","t-shirt  n","<div>jthrgef</div>"
"3","Sweatshirt N","<div>ikiytynrbtev</div>"
"version","executed_at","execution_time"
"DoctrineMigrations\Version20220212190442","2022-02-12 19:04:54","774"
"DoctrineMigrations\Version20220213150755","2022-02-13 15:08:02","56"
"id","orders_id","quantity","subtotal"
"1","1","4","4"
"2","1","4","76"
"3","2","4","4"
"4","2","4","76"
"5","3","4","4"
"6","3","4","76"
"7","4","4","4"
"8","4","4","76"
"9","5","4","4"
"10","5","4","76"
"11","6","4","4"
"12","6","4","76"
"13","7","4","4"
"14","7","4","76"
"15","8","4","4"
"16","8","4","76"
"17","9","4","4"
"18","9","4","76"
"19","10","4","4"
"20","10","4","76"
"21","11","4","4"
"22","11","4","76"
"23","12","4","4"
"24","12","4","76"
"25","13","4","4"
"26","13","4","76"
"27","13","1","19"
"28","14","4","4"
"29","14","4","76"
"30","14","1","19"
"31","15","4","76"
"32","15","3","89.97"
"33","16","4","76"
"34","16","3","89.97"
"35","17","4","76"
"36","17","3","89.97"
"37","18","8","8"
"38","19","1","19"
"39","20","3","3"
"40","21","3","57"
"41","22","4","4"
"42","23","3","57"
"43","24","6","114"
"44","25","4","4"
"45","26","6","6"
"46","27","6","6"
"47","28","6","114"
"48","29","5","95"
"49","30","7","133"
"50","30","4","76"
"51","31","6","114"
"52","32","4","76"
"53","32","4","76"
"line_order_id","product_id"
"id","user_id","totalprice","date"
"1","1","80","2022-02-14 13:13:07"
"2",NULL,"80","2022-02-14 13:14:43"
"3",NULL,"80","2022-02-14 13:14:48"
"4",NULL,"80","2022-02-14 13:15:41"
"5",NULL,"80","2022-02-14 13:16:16"
"6",NULL,"80","2022-02-14 13:48:55"
"7",NULL,"80","2022-02-14 13:50:40"
"8",NULL,"80","2022-02-14 14:29:36"
"9",NULL,"80","2022-02-14 14:29:56"
"10","1","80","2022-02-14 15:51:37"
"11","1","80","2022-02-14 15:52:19"
"12","1","80","2022-02-14 16:34:33"
"13","1","99","2022-02-15 10:24:07"
"14","1","99","2022-02-15 10:25:42"
"15","2","165.97","2022-02-15 11:47:42"
"16","2","165.97","2022-02-15 12:31:12"
"17","2","165.97","2022-02-15 12:31:16"
"18","2","8","2022-02-15 12:43:15"
"19","2","19","2022-02-16 14:59:27"
"20","2","3","2022-02-16 15:05:05"
"21","2","57","2022-02-16 15:07:39"
"22","2","4","2022-02-16 15:20:26"
"23","2","57","2022-02-16 15:50:33"
"24","2","114","2022-02-17 10:19:34"
"25","1","4","2022-02-17 13:54:23"
"26",NULL,"6","2022-02-17 14:36:34"
"27",NULL,"6","2022-02-17 14:37:32"
"28","3","114","2022-02-17 16:02:11"
"29","1","95","2022-02-17 16:08:32"
"30","1","209","2022-02-17 16:12:20"
"31","1","114","2022-02-17 16:21:34"
"32","1","152","2022-02-17 18:43:58"
"id","category_id","name","price","description","image"
"3","2","black N","19","noir","f4cd7c71-60db-49de-b60b-bb9cbbe6b9ec.JPG97523.jpg"
"4","2","blanc N","19","blanc","2d9b4001-fdc3-4552-837a-7c0a2f77d5d2.JPG25611.jpg"
"5","2","bleu N","19","bleu","80ec0ea0-39b3-4ad9-88b3-059544e90328.JPG46224.jpg"
"6","1","cap bleu N","29.99","bleu capuche","37a429a8-f3ad-4f12-b402-6528b8dc3cd0.JPG92936.jpg"
"7","1","cap noir N","30","NOIR capuche","e57aa8b8-3ce5-4ffb-af36-0d41a242bfd2.JPG94825.jpg"
"8","1","cap blanc N","30","blanc capuche","6f1ea102-82d1-4d03-958f-9886636d15e2.JPG30083.jpg"
"id","email","roles","password","firstname","lastname","adress","phone"
"1","ihyppolite971@gmail.com","[""ROLE_ADMIN""]","$2y$13$Hwik0wk4OdvPJPEl2vd/QurmmxMmPYfVGtJNF7kAWz7h.vf91klZ6","Nathan","HYPPOLITE","4 allée des sophoras","0769323559"
"2","toto@gmail.com","[]","$2y$13$2u4wiraNm..CBlAwwyszfuHfZM8CrTzKlaQTBmCyMlwId3DWVXlTy","Nathan","HYPPOLITE","4 allée des sophoras","0769323559"
"3","azet@gmail.com","[]","$2y$13$ov/zD5wWay5//hHMfVggYu030HK8blyaB1zmHqzGSEeOOecyMAmXu","aqw","zdc","4 allée des sophoras","0769323559"
